Floor,Location,ComputerName,SerialNumber,WindowsEdition,MACAddress,CitrixVersion,CiscoExt,PCModel,CPU,RAM,IPAddress,DisplayVersion,OSVersion,CitrixName,RecordedDateTime,Updateby
11,08G,T-MOB151,8CC0250FJ4,Windows 10  10.0.19045,BC-E9-2F-85-D5-CF,23.11.1.140,10234,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09A,T-Mob1001297,4CE1290XTV,Windows 10  10.0.19045,00-68-EB-CC-AD-37,23.11.1.140,11293,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09B,T-Mob1001294,8CC9220JHV,Windows 10  10.0.19045,80-E8-2C-11-A6-F1,23.11.1.140,10811,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09C,T-Mob1001296,8CC0250FB6,Windows 10  10.0.19045,BC-E9-2F-84-AD-FE,23.11.1.140,10230,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09D,T-MOB1000113,FT4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-46-99,23.11.1.140,11593,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09E,T-Mob1001295,8CC0250FCT,Windows 10  10.0.19045,BC-E9-2F-85-D3-FF,23.11.1.140,10231,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09F,T-Mob1000189X,CV4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-63-54,23.11.1.140,10331,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09G,T-Mob1001169,8CC0250FKK,Windows 10  10.0.19045,BC-E9-2F-85-D3-C6,23.11.1.140,10244,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10A,T-Mob1000022,4CE1290XQY,Windows 10  10.0.19045,00-68-EB-CC-AD-87,23.11.1.140,11452,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10B,T-Mob1000023,4CE1290XXK,Windows 10  10.0.19045,00-68-EB-CC-9B-83,23.11.1.140,10334,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10C,T-Mob100058,4CE1290XSB,Windows 10  10.0.19045,00-68-EB-CC-AA-2F,23.11.1.140,10204,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10D,T-Mob1000898,4M7BZR3,Windows 10  10.0.19045,00-BE-43-F6-F9-BF,23.11.1.140,10222,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10E,T-Mob100129,4CE1290XP5,Windows 10  10.0.19045,00-68-EB-CC-AC-FC,23.11.1.140,11046,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10F,T-Mob1001302,8CC0250FD0,Windows 10  10.0.19045,BC-E9-2F-85-D5-20,23.11.1.140,10232,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10G,T-Mob1000180,BL4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-67-89,23.11.1.140,10258,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11A,T-Mob1001300,8CC046065L,Windows 10 10.0.19045,F8-0D-AC-2B-D4-C5,23.11.1.140,10745,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11B,T-Mob100125,4CE1290XSP,Windows 10 10.0.19045,00-68-EB-CC-B0-FE,23.11.1.140,11033,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11C,T-Mob1001301,8CC046062W,Windows 10 10.0.19045,F8-0D-AC-2B-D3-7F,23.11.1.140,10227,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11D,T-Mob100132,4CE1290XP7,Windows 10 10.0.19045,00-68-EB-CC-AD-E9,23.11.1.140,11051,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11E,T-MOB100053,4CE1290XZ5,Windows 10  10.0.19045,C0-25-A5-8A-6C-F3,23.11.1.140,11231,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11F,T-Mob1000183,654JMJ3,Windows 10 10.0.19045,C0-25-A5-91-4D-13,23.11.1.140,11024,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11G,T-Mob1001303,8CC0250FLB,Windows 10 10.0.19045,BC-E9-2F-86-71-63,23.11.1.140,10206,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12A,T-Mob1001307,8CC046065X,Windows 10  10.0.19045,F8-0D-AC-1C-EF-A5,23.11.1.140,10149,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12B,T-Mob100118,4CE1290XVJ,Windows 10  10.0.19045,00-68-EB-CC-9C-1A,23.11.1.140,11041,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12C,T-Mob100077,4CE1290XZ9,Windows 10  10.0.19045,00-68-EB-CC-AB-95,23.11.1.140,11299,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12D,T-Mob100119,4CE1290XS3,Windows 10  10.0.19045,00-68-EB-CC-A9-9C,23.11.1.140,11031,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12E,T-Mob1000603,8CC0250FFT,Windows 10  10.0.19045,BC-E9-2F-84-AE-31,23.11.1.140,10196,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12F,T-Mob1000176,4G4JMJ3,Windows 10  10.0.19045,C0-25-A5-88-FA-E7,23.11.1.140,11819,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12G,T-Mob1001305,8CC0250FLH,Windows 10  10.0.19045,BC-E9-2F-86-81-1B,23.11.1.140,10198,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13A,T-Mob1000224,885JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-70-5B,23.11.1.140,11280,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13B,T-Mob1001308,4CE1290XNX,Windows 10  10.0.19045,00-68-EB-CC-AA-00,23.11.1.140,11021,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13C,T-Mob1001306,8CC0250FJD,Windows 10  10.0.19045,BC-E9-2F-85-D5-DD,23.11.1.140,10035,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13D,T-Mob100103,4CE1290XWH,Windows 10  10.0.19045,00-68-EB-CC-9C-CB,23.11.1.140,11058,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13E,T-Mob100151,4CE1290XZT,Windows 10  10.0.19045,00-68-EB-CC-A9-4D,23.11.1.140,11094,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13F,T-Mob1000187,264JMJ3,Windows 10  10.0.19045,C0-25-A5-91-45-F3,23.11.1.140,10309,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,13G,T-Mob1001009,8CC1112GMC,Windows 10  10.0.19045,6C-02-E0-9B-45-E5,23.11.1.140,10179,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14A,T-Mob1000217X,CF4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-67-75,23.11.1.140,10235,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14B,T-Mob1001309,8CC0250FGH,Windows 10  10.0.19045,BC-E9-2F-84-AE-1B,23.11.1.140,10870,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14C,T-Mob1000933,4CE1290XSF,Windows 10  10.0.19045,00-68-EB-CC-4A-C4,23.11.1.140,11138,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14D,T-Mob1001310,8CC0250F9S,Windows 10  10.0.19045,BC-E9-2F-85-D5-0C,23.11.1.140,10125,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14E,T-Mob1001050,8CC0250FKR,Windows 10  10.0.19045,BC-E9-2F-85-D3-C2,23.11.1.140,10339,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14F,T-Mob1001312,8CC0250FCX,Windows 10  10.0.19045,BC-E9-2F-85-D5-0E,23.11.1.140,10371,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,14G,T-Mob100072,4CE1290XNR,Windows 10  10.0.19045,00-68-EB-CC-AD-4E,23.11.1.140,11099,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15A,T-Mob1000156,1V4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-5C-BC,23.11.1.140,10285,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15B,T-Mob1000239,HX4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-5D-EA,23.11.1.140,10325,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15C,T-Mob1000232,174JMJ3,Windows 10  10.0.19045,C0-25-A5-91-44-C5,23.11.1.140,10289,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15D,T-Mob1001311,8CC1112GP6,Windows 10  10.0.19045,6C-02-E0-9B-53-93,23.11.1.140,10882,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15E,T-Mob100079,4CE1290XTP,Windows 10  10.0.19045,00-68-EB-CC-AD-70,23.11.1.140,11081,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15F,T-Mob1000990,8CC9220JHS,Windows 10  10.0.19045,80-E8-2C-11-A6-F4,23.11.1.140,11948,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,15G,T-Mob100136,4CE1290XSW,Windows 10  10.0.19045,00-68-EB-CC-9A-A2,23.11.1.140,11144,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16A,T-Mob1000756,8CC1112GPH,Windows 10  10.0.19045,6C-02-E0-9B-53-D0,23.11.1.140,10356,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16B,T-Mob1000236,81TSNJ3,Windows 10  10.0.19045,C0-25-A5-91-48-5D,23.11.1.140,11490,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16C,T-Mob1001248,8CC91752G8,Windows 10  10.0.19045,C4-65-16-B1-48-FE,23.11.1.140,10028,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16D,T-Mob1000117,3Q4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-4D-34,23.11.1.140,10284,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16E,T-Mob1001314,8CC0250FLM,Windows 10  10.0.19045,BC-E9-2F-85-D8-64,23.11.1.140,10252,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16F,T-Mob1001313,8CC0250FCJ,Windows 10  10.0.19045,BC-E9-2F-85-D5-30,23.11.1.140,10176,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,16G,T-Mob1000914,6CR4160WNC,Windows 10  10.0.19045,A0-D3-C1-17-A2-56,23.11.1.140,11813,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17A,T-MOB100153,4CE1290Y0G,Windows 10  10.0.19045,00-68-EB-CC-9B-87,23.11.1.140,11082,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17B,T-Mob1001181,8CC91752G9,Windows 10  10.0.19045,C4-65-16-B1-4A-93,23.11.1.140,10012,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17C,T-Mob1000240,JH4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-69-AD,23.11.1.140,11491,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17D,T-Mob100078X,4CE1290XSZ,Windows 10  10.0.19045,00-68-EB-CC-AB-98,23.11.1.140,11133,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17E,T-Mob100004,4CE1290XVW,Windows 10  10.0.19045,00-68-EB-CC-9D-0F,23.11.1.140,11196,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17F,T-Mob1001183,8CC0250FKV,Windows 10  10.0.19045,BC-E9-2F-86-81-07,23.11.1.140,10256,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,17G,T-Mob1001182,8CC9220JJ6,Windows 10  10.0.19045,80-E8-2C-11-A7-5C,23.11.1.140,10294,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,18A,T-Mob1000949,8CC91752GK,Windows 10  10.0.19045,C4-65-16-B1-48-FD,23.11.1.140,10025,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,18B,T-Mob1000447,B64JMJ3,Windows 10  10.0.19045,C0-25-A5-91-45-EE,23.11.1.140,10021,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,18C,T-Mob100138,4CE1290XNW,Windows 10  10.0.19045,00-68-EB-CC-AD-2F,23.11.1.140,11199,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,18D,T-Mob1000395,355JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-65-91,23.11.1.140,10029,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,18E,T-Mob1000227,CL4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-67-73,23.11.1.140,11995,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
