id,Floor,Location,CiscoExt,Updateby,ComputerName,SerialNumber,PCModel,CPU,RAM,IPAddress,MACAddress,WindowsEdition,DisplayVersion,OSVersion,CitrixName,CitrixVersion,RecordedDateTime
34,11,57E,10263,407006,T-MOB1000241,2H4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.83.108,C025.A58A.6832,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2309,23.9.1.104,2024-03-10 12:51:17
35,11,57E,10263,407006,T-MOB1000241,2H4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.83.108,C025.A58A.6832,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 13:09:47
36,FloorTest,TEST,TEST,TEST,T-MOB1000066,SGH452S75H,HP EliteDesk 800 G1 SFF,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,4 GB,10.16.83.33,6451.065A.A535,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 08:39:54
37,NOC,TEST,TESTING,TEST,T-MOB1000066,SGH452S75H,HP EliteDesk 800 G1 SFF,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,4 GB,10.16.83.33,6451.065A.A535,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 11:48:00
38,NOC,NOC,TEST,TEST,T-MOB1000066,SGH452S75H,HP EliteDesk 800 G1 SFF,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,4 GB,10.16.83.33,6451.065A.A535,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 12:13:29
39,11,30A,10873,407006,T-MOB1000208,955JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.80.141,C025.A58A.6407,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:40:18
40,11,30B,11153,407006,T-MOB1000020,4CE1290XY9,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.80.142,0068.EBCC.A40F,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:41:46
41,11,30C,11049,407006,T-MOB100134,4CE1290XPF,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.80.143,0068.EBCC.AD7B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:42:41
42,11,30D,30100,407006,T-MOB1000057,4CE1290XY4,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.128,0068.EBCC.AE5C,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:43:33
43,11,30E,22042,407006,T-MOB1000030,4CE1290XXF,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.129,0068.EBCC.9C51,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:44:45
